Position,PlayerName,Team,Opponent,Salary,PPG
WR,Marques Colston,Saints,Dolphins,11700,13.4
FLEX,Marques Colston,Saints,Dolphins,11700,13.4
WR,Robert Meachem,Saints,Dolphins,5000,5.7
FLEX,Robert Meachem,Saints,Dolphins,5000,5.7
WR,Lance Moore,Saints,Dolphins,6400,2.8
FLEX,Lance Moore,Saints,Dolphins,6400,2.8
WR,Victor Cruz,Giants,Chiefs,13250,20.0
FLEX,Victor Cruz,Giants,Chiefs,13250,20.0
WR,Hakeem Nicks,Giants,Chiefs,11150,9.6
FLEX,Hakeem Nicks,Giants,Chiefs,11150,9.6
WR,Santonio Holmes,Jets,Titans,9400,12.3
FLEX,Santonio Holmes,Jets,Titans,9400,12.3
WR,Jeremy Kerley,Jets,Titans,6550,6.0
FLEX,Jeremy Kerley,Jets,Titans,6550,6.0
WR,Jason Avant,Eagles,Broncos,7000,9.0
FLEX,Jason Avant,Eagles,Broncos,7000,9.0
WR,Riley Cooper,Eagles,Broncos,5900,6.3
FLEX,Riley Cooper,Eagles,Broncos,5900,6.3
WR,DeSean Jackson,Eagles,Broncos,13800,22.3
FLEX,DeSean Jackson,Eagles,Broncos,13800,22.3
WR,Larry Fitzgerald,Cardinals,Buccaneers,11550,14.9
FLEX,Larry Fitzgerald,Cardinals,Buccaneers,11550,14.9
WR,Andre Roberts,Cardinals,Buccaneers,6550,8.6
FLEX,Andre Roberts,Cardinals,Buccaneers,6550,8.6
WR,Antonio Brown,Steelers,Vikings,13600,21.6
FLEX,Antonio Brown,Steelers,Vikings,13600,21.6
WR,Jerricho Cotchery,Steelers,Vikings,6450,10.0
FLEX,Jerricho Cotchery,Steelers,Vikings,6450,10.0
WR,Emmanuel Sanders,Steelers,Vikings,9300,11.1
FLEX,Emmanuel Sanders,Steelers,Vikings,9300,11.1
WR,Mike Wallace,Dolphins,Saints,10100,11.1
FLEX,Mike Wallace,Dolphins,Saints,10100,11.1
WR,Vincent Brown,Chargers,Cowboys,6300,6.3
FLEX,Vincent Brown,Chargers,Cowboys,6300,6.3
WR,Malcom Floyd,Chargers,Cowboys,6850,10.4
FLEX,Malcom Floyd,Chargers,Cowboys,6850,10.4
WR,Vincent Jackson,Buccaneers,Cardinals,12250,13.8
FLEX,Vincent Jackson,Buccaneers,Cardinals,12250,13.8
WR,Joshua Morgan,Redskins,Raiders,5700,6.3
FLEX,Joshua Morgan,Redskins,Raiders,5700,6.3
WR,Doug Baldwin,Seahawks,Texans,5550,11.0
FLEX,Doug Baldwin,Seahawks,Texans,5550,11.0
WR,Sidney Rice,Seahawks,Texans,7000,10.9
FLEX,Sidney Rice,Seahawks,Texans,7000,10.9
WR,Golden Tate,Seahawks,Texans,8100,9.6
FLEX,Golden Tate,Seahawks,Texans,8100,9.6
WR,Mike Williams,Buccaneers,Cardinals,8750,9.9
FLEX,Mike Williams,Buccaneers,Cardinals,8750,9.9
WR,Leonard Hankerson,Redskins,Raiders,7800,12.2
FLEX,Leonard Hankerson,Redskins,Raiders,7800,12.2
WR,Santana Moss,Redskins,Raiders,6300,12.7
FLEX,Santana Moss,Redskins,Raiders,6300,12.7
WR,Cecil Shorts,Jaguars,Colts,11600,15.5
FLEX,Cecil Shorts,Jaguars,Colts,11600,15.5
WR,Torrey Smith,Ravens,Bills,10800,14.3
